model,image_name,label,early_late_spearman,strict_promotion_fraction,promotion_flip_spearman,promotion_flip_top_iou
vit_base_patch16_224,ILSVRC2012_val_00033960.JPEG,30,-0.567142903804779,0.16326530277729034,0.9272449612617493,0.75
vit_base_patch16_224,ILSVRC2012_val_00033997.JPEG,183,-0.590204119682312,0.1428571492433548,0.9255102276802063,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00034008.JPEG,851,-0.28928571939468384,0.10204081982374191,0.9291837811470032,0.75
vit_base_patch16_224,ILSVRC2012_val_00034055.JPEG,179,0.5640816688537598,0.020408162847161293,0.809387743473053,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00034168.JPEG,22,0.06448978185653687,0.10204081982374191,0.9347959160804749,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00034182.JPEG,552,-0.28479596972465515,0.1428571492433548,0.8747959733009338,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00034217.JPEG,852,-0.35673466324806213,0.08163265138864517,0.9492857456207275,0.75
vit_base_patch16_224,ILSVRC2012_val_00034225.JPEG,393,-0.22959187626838684,0.12244898080825806,0.7664285898208618,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00034230.JPEG,375,0.19683676958084106,0.08163265138864517,0.8914285898208618,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00034302.JPEG,411,0.06816326081752777,0.12244898080825806,0.7036735415458679,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00034356.JPEG,163,0.27918365597724915,0.06122449040412903,0.8747958540916443,0.75
vit_base_patch16_224,ILSVRC2012_val_00034359.JPEG,715,-0.28244897723197937,0.10204081982374191,0.8976531624794006,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00034391.JPEG,921,0.09051020443439484,0.06122449040412903,0.706632673740387,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00034406.JPEG,76,-0.19704082608222961,0.12244898080825806,0.7539795637130737,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00034438.JPEG,353,0.3294898271560669,0.06122449040412903,0.7458162903785706,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00034459.JPEG,625,-0.08265306055545807,0.08163265138864517,0.8838775753974915,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00034548.JPEG,130,-0.33071428537368774,0.12244898080825806,0.8280612230300903,0.4000000059604645
