model,layer,global_mode,image_name,label,global_flip_cosine,global_phase_cosine,score_flip_spearman,score_phase_spearman,score_normalized_entropy,score_top_probability_mass,score_std
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029714.JPEG,935,0.999702513217926,0.999917209148407,0.8316919803619385,0.5973527431488037,0.9937752485275269,0.2166023552417755,0.02469519153237343
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029737.JPEG,407,0.9998365640640259,0.9998688101768494,0.9287061095237732,0.6716333627700806,0.9894862174987793,0.23923075199127197,0.03338520973920822
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029766.JPEG,897,0.9998520612716675,0.9998714327812195,0.6570504307746887,0.5459665656089783,0.991504967212677,0.22735023498535156,0.029558828100562096
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029780.JPEG,434,0.9998965263366699,0.9998531937599182,0.8458414673805237,0.6589135527610779,0.9789523482322693,0.27018749713897705,0.0346592515707016
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029781.JPEG,643,0.999936580657959,0.9999078512191772,0.9423311948776245,0.8427351713180542,0.9861509203910828,0.24114473164081573,0.0401313379406929
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029802.JPEG,772,0.9998930096626282,0.999894380569458,0.6953151226043701,0.4781821370124817,0.9852860569953918,0.26139453053474426,0.033407557755708694
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029828.JPEG,502,0.9998680353164673,0.9999167919158936,0.850665807723999,0.5732343196868896,0.9819762706756592,0.2603040933609009,0.032404713332653046
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029884.JPEG,672,0.999915361404419,0.9999047517776489,0.7937349081039429,0.6117348670959473,0.9907324314117432,0.2278119921684265,0.027894265949726105
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029885.JPEG,135,0.9999315738677979,0.999927282333374,0.7516340017318726,0.4999832510948181,0.9901419281959534,0.228849858045578,0.02863503433763981
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029919.JPEG,954,0.9999271035194397,0.9998809695243835,0.8612260818481445,0.5153886079788208,0.9923562407493591,0.22610343992710114,0.027535611763596535
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029967.JPEG,999,0.9998549818992615,0.9998920559883118,0.7546175718307495,0.5641626119613647,0.9844427108764648,0.2551816403865814,0.03212898224592209
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029975.JPEG,615,0.9998855590820312,0.9999315738677979,0.7592649459838867,0.5984476804733276,0.9901514649391174,0.22860150039196014,0.026834774762392044
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00030022.JPEG,384,0.9999357461929321,0.9999009370803833,0.9044362306594849,0.7986676096916199,0.9904396533966064,0.23083245754241943,0.03138371929526329
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00030088.JPEG,174,0.999896764755249,0.9998456239700317,0.8621647953987122,0.6932480335235596,0.9928301572799683,0.22360804677009583,0.02720555290579796
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00030198.JPEG,916,0.9999159574508667,0.9997798204421997,0.9078246355056763,0.7457482814788818,0.9837937951087952,0.2640070617198944,0.03749733790755272
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00030262.JPEG,753,0.9999245405197144,0.9998896718025208,0.8510132431983948,0.4005482494831085,0.9948710203170776,0.20805466175079346,0.02319171093404293
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00030295.JPEG,709,0.9998573064804077,0.9999046325683594,0.7151718139648438,0.3967057168483734,0.9785492420196533,0.2789178192615509,0.03543427959084511
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00030305.JPEG,274,0.9999402761459351,0.9999051690101624,0.8900190591812134,0.8097251653671265,0.9891057014465332,0.25123298168182373,0.03204335644841194
