model,image_name,condition,mix_gain,mlp_gain,total_gain
cait_s24_224,ILSVRC2012_val_00031410.JPEG,random,0.03498443588614464,0.07989039272069931,0.11487483233213425
cait_s24_224,ILSVRC2012_val_00031472.JPEG,promotion,0.049957115203142166,0.13526888191699982,0.18522599339485168
cait_s24_224,ILSVRC2012_val_00031495.JPEG,promotion,0.030101541429758072,0.3739883303642273,0.40408986806869507
cait_s24_224,ILSVRC2012_val_00031472.JPEG,stable_high,0.07179275900125504,0.1703605204820633,0.24215327203273773
cait_s24_224,ILSVRC2012_val_00031495.JPEG,stable_high,0.02961552143096924,0.3566882312297821,0.38630375266075134
cait_s24_224,ILSVRC2012_val_00031472.JPEG,stable_low,0.06061311811208725,0.025950465351343155,0.0865635871887207
cait_s24_224,ILSVRC2012_val_00031495.JPEG,stable_low,0.011018463410437107,0.24393238127231598,0.2549508213996887
cait_s24_224,ILSVRC2012_val_00031472.JPEG,random,0.05288989096879959,0.0750579684972763,0.1279478520154953
cait_s24_224,ILSVRC2012_val_00031495.JPEG,random,0.022082993760704994,0.2918643355369568,0.3139473497867584
cait_s24_224,ILSVRC2012_val_00031548.JPEG,promotion,0.033720605075359344,0.05463976785540581,0.08836036920547485
cait_s24_224,ILSVRC2012_val_00031586.JPEG,promotion,0.016362395137548447,0.07104779779911041,0.08741018921136856
cait_s24_224,ILSVRC2012_val_00031548.JPEG,stable_high,0.05822914093732834,0.06009870395064354,0.11832784116268158
cait_s24_224,ILSVRC2012_val_00031586.JPEG,stable_high,0.03341684490442276,0.07563477009534836,0.10905160754919052
cait_s24_224,ILSVRC2012_val_00031548.JPEG,stable_low,0.025856580585241318,0.043936457484960556,0.06979303807020187
cait_s24_224,ILSVRC2012_val_00031586.JPEG,stable_low,0.04264436289668083,0.07178209722042084,0.11442645639181137
cait_s24_224,ILSVRC2012_val_00031548.JPEG,random,0.02943415753543377,0.048584822565317154,0.07801897823810577
cait_s24_224,ILSVRC2012_val_00031586.JPEG,random,0.03665388375520706,0.052604712545871735,0.0892586037516594
cait_s24_224,ILSVRC2012_val_00031588.JPEG,promotion,0.0740622952580452,0.07813983410596848,0.15220212936401367
cait_s24_224,ILSVRC2012_val_00031593.JPEG,promotion,0.08178480714559555,0.11061703413724899,0.19240184128284454
cait_s24_224,ILSVRC2012_val_00031588.JPEG,stable_high,0.07293543964624405,0.07544685900211334,0.1483822911977768
cait_s24_224,ILSVRC2012_val_00031593.JPEG,stable_high,0.07449529320001602,0.09399165958166122,0.16848695278167725
cait_s24_224,ILSVRC2012_val_00031588.JPEG,stable_low,0.07831574231386185,0.03557267785072327,0.11388842761516571
cait_s24_224,ILSVRC2012_val_00031593.JPEG,stable_low,0.059749867767095566,0.07732252031564713,0.1370723992586136
cait_s24_224,ILSVRC2012_val_00031588.JPEG,random,0.08179450035095215,0.06066872924566269,0.14246322214603424
cait_s24_224,ILSVRC2012_val_00031593.JPEG,random,0.07256846874952316,0.09358884394168854,0.1661573201417923
cait_s24_224,ILSVRC2012_val_00031629.JPEG,promotion,0.08170988410711288,0.20136083662509918,0.28307074308395386
cait_s24_224,ILSVRC2012_val_00031647.JPEG,promotion,0.05057979002594948,0.14360657334327698,0.19418637454509735
cait_s24_224,ILSVRC2012_val_00031629.JPEG,stable_high,0.058861855417490005,0.17823179066181183,0.23709365725517273
cait_s24_224,ILSVRC2012_val_00031647.JPEG,stable_high,0.04443725198507309,0.1998906284570694,0.24432788789272308
