model,sample_index,image_name,residual_effective_rank,top_eigenvalue_fraction,top3_eigenvalue_fraction,top_mode_semantic_fraction,top3_mode_semantic_fraction,mean_residual_l2,semantic_covariance_l2
pit_b_224,43,ILSVRC2012_val_00040407.JPEG,18.301027297973633,0.10308270901441574,0.24796858429908752,0.7087212204933167,0.7697290182113647,1.0155079364776611,0.004292603582143784
pit_b_224,44,ILSVRC2012_val_00040452.JPEG,18.2761287689209,0.09779160469770432,0.24913963675498962,0.32161784172058105,0.7272015810012817,0.2719857096672058,0.009584345854818821
pit_b_224,45,ILSVRC2012_val_00040457.JPEG,17.631916046142578,0.11442621797323227,0.29854917526245117,0.171587735414505,0.662960410118103,5.7918829917907715,0.006543613504618406
pit_b_224,46,ILSVRC2012_val_00040494.JPEG,18.79434585571289,0.07795019447803497,0.20483824610710144,0.09206510335206985,0.5810785293579102,0.11141393333673477,0.004387974739074707
pit_b_224,47,ILSVRC2012_val_00040541.JPEG,17.306190490722656,0.16130083799362183,0.27880972623825073,0.27450504899024963,0.40632715821266174,0.5061641931533813,0.0025856606662273407
pit_b_224,48,ILSVRC2012_val_00040601.JPEG,18.630107879638672,0.09320840239524841,0.2167537808418274,0.031742796301841736,0.11237966269254684,0.4303208291530609,0.003483304288238287
pit_b_224,49,ILSVRC2012_val_00040634.JPEG,18.816205978393555,0.07054656744003296,0.1992705762386322,0.052051834762096405,0.845504879951477,0.25385650992393494,0.010499178431928158
pit_b_224,50,ILSVRC2012_val_00040798.JPEG,18.470394134521484,0.09686556458473206,0.22975200414657593,0.20189589262008667,0.2689521014690399,0.6046093702316284,0.0043121385388076305
pit_b_224,51,ILSVRC2012_val_00040930.JPEG,18.486968994140625,0.09243586659431458,0.22969363629817963,0.03638620302081108,0.1262352466583252,0.3558213412761688,0.00741624366492033
pit_b_224,52,ILSVRC2012_val_00040952.JPEG,18.062589645385742,0.11893363296985626,0.2678879499435425,0.11878766864538193,0.31900569796562195,0.26742300391197205,0.004591089207679033
pit_b_224,53,ILSVRC2012_val_00040966.JPEG,18.181875228881836,0.11530549824237823,0.25029581785202026,0.10794555395841599,0.4913889765739441,0.18636448681354523,0.0027007509488612413
