model,condition,sample_index,image_name,preserved_view_fraction,preserved_route_distance,preserved_pair_distance,top_preserved_global_cosine,top_preserved_js,top_route_distance,top_pair_distance,all_view_global_cosine,all_view_js,all_view_route_distance,route_view_count
cait_s24_224,rgb_gaussian,0,ILSVRC2012_val_00031361.JPEG,0.0,0.0,0.26022857427597046,0.9010542035102844,0.009317122399806976,0.45595917105674744,0.26022857427597046,0.8739425539970398,0.01242887694388628,0.4617703855037689,0
cait_s24_224,rgb_gaussian,1,ILSVRC2012_val_00031410.JPEG,0.0,0.0,0.10185304284095764,0.9586729407310486,0.0031135957688093185,0.24034690856933594,0.10185304284095764,0.939696729183197,0.005097549874335527,0.23228059709072113,0
cait_s24_224,feature_gaussian,0,ILSVRC2012_val_00031361.JPEG,0.0,0.0,0.18823672831058502,0.9139925241470337,0.0038107538130134344,0.38600000739097595,0.18823672831058502,0.8887909054756165,0.00567494984716177,0.48482653498649597,0
cait_s24_224,feature_gaussian,1,ILSVRC2012_val_00031410.JPEG,0.0,0.0,0.12342040985822678,0.9410941004753113,0.005106673575937748,0.1821632832288742,0.12342040985822678,0.9237637519836426,0.00865316390991211,0.22255101799964905,0
cait_s24_224,phase_only,0,ILSVRC2012_val_00031361.JPEG,0.5,0.018571436405181885,0.0,1.0,3.725290298461914e-08,0.018571436405181885,0.0,0.9631075263023376,0.003405154449865222,0.24629080295562744,10
cait_s24_224,phase_only,1,ILSVRC2012_val_00031410.JPEG,0.5,0.009183645248413086,0.0,1.000000238418579,0.0,0.009183645248413086,0.0,0.9845368266105652,0.0016742997104302049,0.08328058570623398,10
cait_s24_224,opponent,2,ILSVRC2012_val_00031472.JPEG,0.0,0.0,0.23663672804832458,0.975195586681366,0.0024004727602005005,0.3428163230419159,0.23663672804832458,0.95660799741745,0.008624720387160778,0.42955103516578674,0
cait_s24_224,opponent,3,ILSVRC2012_val_00031495.JPEG,0.0,0.0,0.32182857394218445,0.9193446040153503,0.01915862038731575,0.5652244687080383,0.32182857394218445,0.9015828371047974,0.028182029724121094,0.5210561156272888,0
cait_s24_224,rgb_gaussian,2,ILSVRC2012_val_00031472.JPEG,0.0,0.0,0.19332244992256165,0.9775707125663757,0.0023187000770121813,0.3426326811313629,0.19332244992256165,0.9709295630455017,0.004635644145309925,0.3657397925853729,0
cait_s24_224,rgb_gaussian,3,ILSVRC2012_val_00031495.JPEG,0.0,0.0,0.27551019191741943,0.9668593406677246,0.0056192586198449135,0.4747755229473114,0.27551019191741943,0.9480838775634766,0.010987766087055206,0.5613826513290405,0
cait_s24_224,feature_gaussian,2,ILSVRC2012_val_00031472.JPEG,0.20000000298023224,0.34364795684814453,0.1756407916545868,0.9808198809623718,0.0015553596895188093,0.3343469798564911,0.1756407916545868,0.9756487011909485,0.0026404857635498047,0.3358418345451355,4
cait_s24_224,feature_gaussian,3,ILSVRC2012_val_00031495.JPEG,0.0,0.0,0.27924078702926636,0.9731308221817017,0.0028628164436668158,0.3499999940395355,0.27924078702926636,0.9403716325759888,0.012983815744519234,0.5066480040550232,0
cait_s24_224,phase_only,2,ILSVRC2012_val_00031472.JPEG,0.8500000238418579,0.09393153339624405,0.0,1.0,3.725290298461914e-08,0.01285707950592041,0.0,0.9876806139945984,0.001493009040132165,0.14304077625274658,17
cait_s24_224,phase_only,3,ILSVRC2012_val_00031495.JPEG,0.8500000238418579,0.2320588082075119,0.0,0.9999999403953552,2.2351741790771484e-08,0.028367340564727783,0.0,0.9871519207954407,0.002351397415623069,0.3182295858860016,17
cait_s24_224,opponent,4,ILSVRC2012_val_00031548.JPEG,0.0,0.0,0.1190367266535759,0.9330195784568787,0.008081300184130669,0.6073265671730042,0.1190367266535759,0.8905496597290039,0.016367673873901367,0.6733724474906921,0
cait_s24_224,opponent,5,ILSVRC2012_val_00031586.JPEG,0.0,0.0,0.35877546668052673,0.9619351625442505,0.010257426649332047,0.4928571879863739,0.35877546668052673,0.9510408639907837,0.018100081011652946,0.4933622479438782,0
cait_s24_224,rgb_gaussian,4,ILSVRC2012_val_00031548.JPEG,0.0,0.0,0.0957958996295929,0.9424529075622559,0.008720641024410725,0.6271428465843201,0.0957958996295929,0.9040798544883728,0.01576690748333931,0.7008469700813293,0
cait_s24_224,rgb_gaussian,5,ILSVRC2012_val_00031586.JPEG,0.05000000074505806,0.43051016330718994,0.3102693557739258,0.9771928787231445,0.0026307583320885897,0.3715510070323944,0.3102693557739258,0.9681394696235657,0.007724778261035681,0.4377245008945465,1
cait_s24_224,feature_gaussian,4,ILSVRC2012_val_00031548.JPEG,0.0,0.0,0.15161630511283875,0.9578742980957031,0.005641867406666279,0.3919796049594879,0.15161630511283875,0.9241634607315063,0.012457447126507759,0.5272602438926697,0
cait_s24_224,feature_gaussian,5,ILSVRC2012_val_00031586.JPEG,0.800000011920929,0.3677806258201599,0.30581220984458923,0.9896055459976196,0.0006442086305469275,0.39228567481040955,0.30581220984458923,0.9835824370384216,0.0016837135190144181,0.36508670449256897,16
cait_s24_224,phase_only,4,ILSVRC2012_val_00031548.JPEG,0.5,0.013877570629119873,0.0,0.9999999403953552,-2.9802322387695312e-08,0.013877570629119873,0.0,0.9650837182998657,0.006848974619060755,0.13672447204589844,10
cait_s24_224,phase_only,5,ILSVRC2012_val_00031586.JPEG,1.0,0.21868877112865448,0.0,1.000000238418579,2.2351741790771484e-08,0.012040793895721436,0.0,0.9948759078979492,0.0002005290298257023,0.21868877112865448,20
cait_s24_224,opponent,6,ILSVRC2012_val_00031588.JPEG,0.75,0.38528570532798767,0.22519998252391815,0.9846206903457642,0.0008714937721379101,0.3838367462158203,0.22519998252391815,0.9814683794975281,0.0016808508662506938,0.38177040219306946,15
cait_s24_224,opponent,7,ILSVRC2012_val_00031593.JPEG,1.0,0.1965000033378601,0.05019592121243477,0.9930370450019836,0.00019669877656269819,0.16516326367855072,0.05019592121243477,0.9905597567558289,0.0003130920813418925,0.1965000033378601,20
cait_s24_224,rgb_gaussian,6,ILSVRC2012_val_00031588.JPEG,0.6000000238418579,0.3918452262878418,0.2515428364276886,0.984100341796875,0.000860260333865881,0.4179183542728424,0.2515428364276886,0.9800356030464172,0.0015651442809030414,0.40999993681907654,12
cait_s24_224,rgb_gaussian,7,ILSVRC2012_val_00031593.JPEG,1.0,0.19370408356189728,0.05929795280098915,0.9941419959068298,0.00019194353080820292,0.16334694623947144,0.05929795280098915,0.9919416308403015,0.00029108638409525156,0.19370408356189728,20
cait_s24_224,feature_gaussian,6,ILSVRC2012_val_00031588.JPEG,0.0,0.0,0.3001469373703003,0.9753120541572571,0.001288711209781468,0.4136122167110443,0.3001469373703003,0.965415894985199,0.003135354956611991,0.38514792919158936,0
cait_s24_224,feature_gaussian,7,ILSVRC2012_val_00031593.JPEG,1.0,0.17913265526294708,0.07203264534473419,0.9955062866210938,0.00017228916112799197,0.14938777685165405,0.07203264534473419,0.9933764338493347,0.0002918362442869693,0.17913265526294708,20
cait_s24_224,phase_only,6,ILSVRC2012_val_00031588.JPEG,1.0,0.18047450482845306,0.0,1.000000238418579,-6.705522537231445e-08,0.015816330909729004,0.0,0.9960352778434753,0.00012268013961147517,0.18047450482845306,20
cait_s24_224,phase_only,7,ILSVRC2012_val_00031593.JPEG,1.0,0.07093875855207443,0.0,0.9999999403953552,7.450580596923828e-09,0.012857139110565186,0.0,0.9981619119644165,0.00011092564091086388,0.07093875855207443,20
cait_s24_224,opponent,8,ILSVRC2012_val_00031629.JPEG,0.45000001788139343,0.2656802535057068,0.19103671610355377,0.9850708246231079,0.0018954050028696656,0.28473469614982605,0.19103671610355377,0.9767808318138123,0.004658724647015333,0.2811122536659241,9
cait_s24_224,opponent,9,ILSVRC2012_val_00031647.JPEG,0.0,0.0,0.17982856929302216,0.9773921966552734,0.0015907584456726909,0.21130609512329102,0.17982856929302216,0.9691368937492371,0.0035526962019503117,0.21717853844165802,0
cait_s24_224,rgb_gaussian,8,ILSVRC2012_val_00031629.JPEG,0.800000011920929,0.25999999046325684,0.15879999101161957,0.9863083958625793,0.0011638867435976863,0.21016326546669006,0.15879999101161957,0.9822279214859009,0.0019214245257899165,0.25474488735198975,16
cait_s24_224,rgb_gaussian,9,ILSVRC2012_val_00031647.JPEG,0.45000001788139343,0.20182538032531738,0.07630202919244766,0.9871290326118469,0.0004917762125842273,0.18330611288547516,0.07630202919244766,0.9759012460708618,0.0018042766023427248,0.21722960472106934,9
cait_s24_224,feature_gaussian,8,ILSVRC2012_val_00031629.JPEG,0.25,0.16544896364212036,0.12024489790201187,0.9808832406997681,0.0014196430565789342,0.15277549624443054,0.12024489790201187,0.9714781045913696,0.002987475832924247,0.23021936416625977,5
cait_s24_224,feature_gaussian,9,ILSVRC2012_val_00031647.JPEG,0.550000011920929,0.17784786224365234,0.15194283425807953,0.9861977696418762,0.00046511885011568666,0.1429387778043747,0.15194283425807953,0.9781236052513123,0.0010698657715693116,0.20380611717700958,11
cait_s24_224,phase_only,8,ILSVRC2012_val_00031629.JPEG,1.0,0.12306630611419678,0.0,1.0,2.2351741790771484e-08,0.010102033615112305,0.0,0.9954973459243774,0.0005963881849311292,0.12306630611419678,20
cait_s24_224,phase_only,9,ILSVRC2012_val_00031647.JPEG,1.0,0.13661225140094757,0.0,1.000000238418579,1.4901161193847656e-08,0.01336735486984253,0.0,0.9976442456245422,9.510510426480323e-05,0.13661225140094757,20
cait_s24_224,opponent,10,ILSVRC2012_val_00031670.JPEG,0.0,0.0,0.034048981964588165,0.9603851437568665,0.0038740981835871935,0.06130610778927803,0.034048981964588165,0.9533849954605103,0.005589715205132961,0.0918724462389946,0
cait_s24_224,opponent,11,ILSVRC2012_val_00031686.JPEG,0.550000011920929,0.41106680035591125,0.1987183392047882,0.9922448992729187,0.001642856397666037,0.35485708713531494,0.1987183392047882,0.9709936380386353,0.01245154719799757,0.49035200476646423,11
cait_s24_224,rgb_gaussian,10,ILSVRC2012_val_00031670.JPEG,0.0,0.0,0.043804071843624115,0.9600205421447754,0.0039903814904391766,0.0679795891046524,0.043804071843624115,0.9562892317771912,0.005510170944035053,0.09333673864603043,0
cait_s24_224,rgb_gaussian,11,ILSVRC2012_val_00031686.JPEG,0.8500000238418579,0.4234933853149414,0.22328978776931763,0.9935646057128906,0.001088354387320578,0.37834692001342773,0.22328978776931763,0.9865186810493469,0.006306591909378767,0.451984703540802,17
cait_s24_224,feature_gaussian,10,ILSVRC2012_val_00031670.JPEG,0.0,0.0,0.0592571422457695,0.9556078910827637,0.00409212801605463,0.07514285296201706,0.0592571422457695,0.9487804770469666,0.005451960023492575,0.09403570741415024,0
cait_s24_224,feature_gaussian,11,ILSVRC2012_val_00031686.JPEG,0.6000000238418579,0.4139201045036316,0.20946937799453735,0.9921967387199402,0.0008103797445073724,0.31175509095191956,0.20946937799453735,0.9775139093399048,0.005465020891278982,0.45391836762428284,12
cait_s24_224,phase_only,10,ILSVRC2012_val_00031670.JPEG,0.699999988079071,0.026413986459374428,0.0,1.0,-4.470348358154297e-08,0.009795904159545898,0.0,0.9880954623222351,0.0023440320510417223,0.04421937093138695,14
cait_s24_224,phase_only,11,ILSVRC2012_val_00031686.JPEG,1.0,0.2202448844909668,0.0,0.9999998211860657,-2.9802322387695312e-08,0.010714292526245117,0.0,0.9971503615379333,0.0010316766565665603,0.2202448844909668,20
